bien.type,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,is_vente,label_conflict,prix_per_m2_log,log_superficie,log_nombre_pieces,nb_equipements,jours_depuis_publication,has_coordinates,coastal_premium,size_category
Appartement,115.0,,3.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.93737,10.54509,False,Central,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.2257979497802753,4.7535901911063645,1.3862943611198906,1,473.0,1,0,1
Appartement,130.0,,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93402,10.55028,False,Central,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,False,2.069779630768099,4.875197323201151,1.3862943611198906,2,473.0,1,0,2
Appartement,140.0,140.0,4.0,2.0,1.0,Neuf,Sousse,Autres,Hergla,36.03356,10.50294,False,"Radiateur, Climatisation, Central",False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,False,2.005333569526114,4.948759890378168,1.6094379124341003,2,469.0,1,1,2
Appartement,140.0,140.0,4.0,2.0,1.0,Neuf,Sousse,Autres,Hergla,36.03356,10.50294,False,"Radiateur, Climatisation, Central",False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,False,2.005333569526114,4.948759890378168,1.6094379124341003,2,469.0,1,1,2
Appartement,86.0,60.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.91729,10.56308,False,Climatisation,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,False,2.704944608544057,4.465908118654584,1.3862943611198906,4,467.0,1,0,1
Appartement,86.0,60.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,36.8216,10.18361,False,Radiateur,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,False,2.9146231059412857,4.465908118654584,1.3862943611198906,3,466.0,1,0,1
Appartement,76.5,100.0,3.0,2.0,1.0,Bon,Sousse,Autres,Hergla,36.03412,10.5048,False,"Radiateur, Climatisation",False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,0,False,3.3011483222383182,4.350277936359301,1.3862943611198906,5,454.0,1,1,0
Appartement,117.0,,4.0,2.0,1.0,Neuf,Sousse,Autres,Hammam Sousse,35.86585,10.5738,False,Central,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0,False,2.7963428082478887,4.770684624465665,1.6094379124341003,3,414.0,1,1,2
Appartement,90.5,,3.0,2.0,1.0,Bon,Autres,Autres,Monastir,35.7678,10.8225,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.9274297714420605,4.516338972281476,1.3862943611198906,0,411.0,1,0,1
Appartement,90.5,,19.0,2.0,1.0,Bon,Autres,Autres,Monastir,35.7678,10.8225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,False,0.5086132334830499,4.516338972281476,2.995732273553991,2,411.0,1,0,1
Appartement,127.0,110.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse Khezama,35.84912,10.60554,False,Radiateur,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.6384947416960602,4.852030263919617,1.3862943611198906,2,408.0,1,0,2
Appartement,150.0,90.0,4.0,2.0,1.0,Bon,Autres,Autres,Autres,35.82805,10.61294,False,Radiateur,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.03688192726104,5.017279836814924,1.6094379124341003,1,385.0,1,0,3
Appartement,86.0,80.0,4.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93226,10.54281,False,Central,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,False,2.704944608544057,4.465908118654584,1.6094379124341003,2,2.0,1,0,1
Appartement,76.5,70.0,2.0,2.0,1.0,Bon,Sousse,Autres,Hergla,36.03141,10.5043,False,Climatisation,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.3799091764285887,4.350277936359301,1.0986122886681098,1,368.0,1,1,0
Appartement,86.0,60.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.9263,10.5759,False,Climatisation,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,0,False,2.535909204240373,4.465908118654584,1.3862943611198906,5,361.0,1,0,1
Appartement,280.0,120.0,3.0,2.0,1.0,Neuf,Autres,Autres,Sousse,35.85896,10.61026,False,Radiateur,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,0,False,2.7269186854065928,5.638354669333745,1.3862943611198906,5,353.0,1,0,4
Appartement,160.0,120.0,3.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.88834,10.592,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.063693184711697,5.081404364984463,1.3862943611198906,0,353.0,1,1,3
Appartement,127.0,,3.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.88818,10.59127,False,Central,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,2.4868732187600413,4.852030263919617,1.3862943611198906,1,353.0,1,1,2
Appartement,86.0,110.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.82521,10.63183,False,Central,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.623994283304163,4.465908118654584,1.3862943611198906,1,341.0,1,0,1
Appartement,110.0,90.0,4.0,2.0,1.0,Bon,Autres,Autres,Sousse Khezama,35.82098,10.63644,False,Central,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,0,False,2.5508646175797978,4.709530201312334,1.6094379124341003,4,336.0,1,0,1
Appartement,86.0,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.94172,10.55034,False,"Radiateur, Climatisation",True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0,False,2.779829883496341,4.465908118654584,1.3862943611198906,5,332.0,1,0,1
Appartement,86.0,60.0,2.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.95694,10.54591,False,"Radiateur, Climatisation",True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0,False,2.779829883496341,4.465908118654584,1.0986122886681098,4,330.0,1,0,1
Appartement,86.0,60.0,2.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.95913,10.54069,False,Radiateur,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0,False,2.779829883496341,4.465908118654584,1.0986122886681098,4,326.0,1,0,1
Appartement,117.5,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse,35.82631,10.63886,False,"Radiateur, Climatisation",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,False,2.5583811893494395,4.774912960575186,1.3862943611198906,3,324.0,1,0,2
Appartement,86.0,85.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.9542,10.53975,False,Radiateur,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0,False,2.975766842308293,4.465908118654584,1.3862943611198906,4,323.0,1,0,1
Appartement,86.0,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.92125,10.57651,False,Climatisation,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0,False,1.6232949470955267,4.465908118654584,1.3862943611198906,5,322.0,1,0,1
